sr,speech_input,text_output
1,html,<html> </html>
2,head,<head> </head>
3,body,<body> </body>
4,title,<title> </title>
5,image,"<img src="" ""   alt="" ""   height="" ""    width="" "">"
6,a,"<a href=""  "">   </a>
"
7,b,<b>  </b>
8,p,<p>  </p>
9,h,<h1> </h1>
10,h2,<h2> </h2>
11,h3,<h3> </h3>
12,h4,<h4> </h4>
13,h5,<h5> </h5>
14,h6,<h6> </h6>
15,li,<li></li>
16,ol,<ol> <li>  </li>  </ol>
17,ul,<ul> <li>   </li> </ul>
18,main,<main>  </main>
19,article,<article>  </article>
20,table ,<table>  <tr>  <th>  </th>    </tr>   <tr>  <td>  </td>    </tr>    </table> 
21,tr,<tr>  </tr>
22,td,<td> </td>
23,th,<th> </th>
24,form,"<form action=""  "">
  1st Field name :  <input type=""text""   name=""fname""  >  <br>
  2nd Field name:  <input type=""text""   name=""lname"" >  <br>
  <input  type=""submit""   value=""Submit"" >
</form>
"